S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
25.0,I V PAKKIR REDDY,Independent,408,2,410,0.03
26.0,V MADHUSUDHANA REDDY,Independent,399,2,401,0.03
27.0,BUSHAKU MAHESWARA REDDY,Independent,390,0,390,0.03
28.0,U P MUNI REDDY,Independent,376,0,376,0.03
29.0,GOGULA SUGUNAMMA,Jai Maha Bharath Party,375,4,379,0.03
30.0,BELLAMKONDA SREENIVASULU,Independent,352,1,353,0.03
31.0,BALIJA SHIVA KUMAR,Independent,288,0,288,0.02
32.0,NOTA,None of the Above,10538,159,10697,0.76
1.0,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51
2.0,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15
3.0,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29
4.0,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65
5.0,BOYA SURESH,Independent,5891,9,5900,0.44
6.0,T. BEECHUPALLI,Independent,5125,2,5127,0.39
7.0,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26
8.0,PAGADALA KODANDA,Independent,3070,6,3076,0.23
9.0,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19
10.0,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17
11.0,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16
12.0,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14
13.0,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1565,36,1601,0.12
14.0,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1
15.0,URUKUNDU VADDE,Independent,1284,11,1295,0.1
16.0,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09
17.0,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09
18.0,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08
19.0,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06
20.0,NOTA,None of the Above,10394,117,10511,0.79
1.0,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33
2.0,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24
3.0,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3.0
4.0,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45
5.0,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44
6.0,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4
7.0,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35
8.0,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2
9.0,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18
10.0,P.CHOWDESWARI,Independent,1514,4,1518,0.11
11.0,VADLA KESAVAIAH,Independent,1488,6,1494,0.1
12.0,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09
13.0,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08
14.0,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08
15.0,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06
16.0,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05
17.0,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05
18.0,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04
19.0,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04
20.0,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03
21.0,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03
22.0,NOTA,None of the Above,9014,185,9199,0.64
1.0,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23
2.0,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88
3.0,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89
4.0,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57
5.0,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38
6.0,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16
7.0,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14
8.0,S N SURESH,Independent,1611,20,1631,0.12
9.0,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09
10.0,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09
11.0,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09
